round,stage,detail,cid,seconds
1,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,41.0883462999991
1,client_weight_compute,client aggregation weight,4,8.700000762473792e-06
1,client_local_train,local SGD training,4,0.14817070000026433
1,client_model_delta,weighted local model delta,4,0.0030401000003621448
1,client_quant_encode,fixed-point quantization and signed encoding,4,0.001680700001088553
1,client_masking,xMask = x + m,4,6.860000030428637e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,4,36.22342489999937
1,client_cipher_hash,hash encrypted vector,4,0.040747500001089065
1,client_pedersen_commit,Pedersen vector commitment,4,3.665089699999953
1,client_receipt_sign,sign upload receipt,4,0.0010951000003842637
1,client_upload_pack,build upload message,4,0.01876270000138902
1,client_weight_compute,client aggregation weight,1,1.3700000636163168e-05
1,client_local_train,local SGD training,1,0.15751300000010815
1,client_model_delta,weighted local model delta,1,0.0006762000011804048
1,client_quant_encode,fixed-point quantization and signed encoding,1,0.00046769999971729703
1,client_masking,xMask = x + m,1,4.090000038559083e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,1,36.31127840000045
1,client_cipher_hash,hash encrypted vector,1,0.03226600000016333
1,client_pedersen_commit,Pedersen vector commitment,1,3.718789399999878
1,client_receipt_sign,sign upload receipt,1,0.0013567999994847924
1,client_upload_pack,build upload message,1,0.021806099999594153
1,client_weight_compute,client aggregation weight,3,8.600000001024455e-06
1,client_local_train,local SGD training,3,0.15319909999925585
1,client_model_delta,weighted local model delta,3,0.0007518000002164626
1,client_quant_encode,fixed-point quantization and signed encoding,3,0.0005739999996876577
1,client_masking,xMask = x + m,3,6.049999865354039e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,3,36.40240679999988
1,client_cipher_hash,hash encrypted vector,3,0.04186370000024908
1,client_pedersen_commit,Pedersen vector commitment,3,3.737219599999662
1,client_receipt_sign,sign upload receipt,3,0.0015823999983695103
1,client_upload_pack,build upload message,3,0.020204400001603062
1,client_weight_compute,client aggregation weight,5,8.700000762473792e-06
1,client_local_train,local SGD training,5,0.1537399999997433
1,client_model_delta,weighted local model delta,5,0.0007027999999991152
1,client_quant_encode,fixed-point quantization and signed encoding,5,0.00019210000027669594
1,client_masking,xMask = x + m,5,2.5699999241624027e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,5,36.61148320000029
1,client_cipher_hash,hash encrypted vector,5,0.033481999998912215
1,client_pedersen_commit,Pedersen vector commitment,5,3.766346899999917
1,client_receipt_sign,sign upload receipt,5,0.0007131000002118526
1,client_upload_pack,build upload message,5,0.02241909999975178
1,client_weight_compute,client aggregation weight,2,7.5000007200287655e-06
1,client_local_train,local SGD training,2,0.1566934999991645
1,client_model_delta,weighted local model delta,2,0.0007636000009370036
1,client_quant_encode,fixed-point quantization and signed encoding,2,0.0007953000003908528
1,client_masking,xMask = x + m,2,4.740000076708384e-05
1,client_paillier_encrypt,coordinate-wise Paillier encryption,2,36.61779430000024
1,client_cipher_hash,hash encrypted vector,2,0.04133480000018608
1,client_pedersen_commit,Pedersen vector commitment,2,3.912748000000647
1,client_receipt_sign,sign upload receipt,2,0.0008460000008199131
1,client_upload_pack,build upload message,2,0.01873189999969327
2,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,34.349820700001146
2,client_weight_compute,client aggregation weight,3,8.000000889296643e-06
2,client_local_train,local SGD training,3,0.11675370000011753
2,client_model_delta,weighted local model delta,3,0.00046289999954751693
2,client_quant_encode,fixed-point quantization and signed encoding,3,6.009999924572185e-05
2,client_masking,xMask = x + m,3,1.680000059423037e-05
2,client_paillier_encrypt,coordinate-wise Paillier encryption,3,29.53735239999878
2,client_cipher_hash,hash encrypted vector,3,0.039642100000492064
2,client_pedersen_commit,Pedersen vector commitment,3,4.109005500000421
2,client_receipt_sign,sign upload receipt,3,0.0004764000004797708
2,client_upload_pack,build upload message,3,0.02466889999959676
2,client_weight_compute,client aggregation weight,1,5.800000508315861e-06
2,client_local_train,local SGD training,1,0.11333310000009078
2,client_model_delta,weighted local model delta,1,0.0006358000009640818
2,client_quant_encode,fixed-point quantization and signed encoding,1,6.299999949987978e-05
2,client_masking,xMask = x + m,1,1.5699999494245276e-05
2,client_paillier_encrypt,coordinate-wise Paillier encryption,1,29.751750900000843
2,client_cipher_hash,hash encrypted vector,1,0.04514800000106334
2,client_pedersen_commit,Pedersen vector commitment,1,3.9744938999992883
2,client_receipt_sign,sign upload receipt,1,0.00040889999945648015
2,client_upload_pack,build upload message,1,0.024183399998946697
2,client_weight_compute,client aggregation weight,4,7.200000254670158e-06
2,client_local_train,local SGD training,4,0.1027713000003132
2,client_model_delta,weighted local model delta,4,0.0006434999995690305
2,client_quant_encode,fixed-point quantization and signed encoding,4,8.429999979853164e-05
2,client_masking,xMask = x + m,4,2.4599999960628338e-05
2,client_paillier_encrypt,coordinate-wise Paillier encryption,4,29.656445200000235
2,client_cipher_hash,hash encrypted vector,4,0.04433170000083919
2,client_pedersen_commit,Pedersen vector commitment,4,4.157030100001066
2,client_receipt_sign,sign upload receipt,4,0.00039570000080857426
2,client_upload_pack,build upload message,4,0.02189869999892835
2,client_weight_compute,client aggregation weight,2,6.099999154685065e-06
2,client_local_train,local SGD training,2,0.11360699999931967
2,client_model_delta,weighted local model delta,2,0.00038750000021536835
2,client_quant_encode,fixed-point quantization and signed encoding,2,6.100000064179767e-05
2,client_masking,xMask = x + m,2,1.3099999705445953e-05
2,client_paillier_encrypt,coordinate-wise Paillier encryption,2,29.67822520000118
2,client_cipher_hash,hash encrypted vector,2,0.04679789999863715
2,client_pedersen_commit,Pedersen vector commitment,2,4.247653000000355
2,client_receipt_sign,sign upload receipt,2,0.00036899999940942507
2,client_upload_pack,build upload message,2,0.0232149000003119
2,client_weight_compute,client aggregation weight,5,8.400000297115184e-06
2,client_local_train,local SGD training,5,0.10567880000053265
2,client_model_delta,weighted local model delta,5,0.00040520000038668513
2,client_quant_encode,fixed-point quantization and signed encoding,5,6.350000148813706e-05
2,client_masking,xMask = x + m,5,1.799999881768599e-05
2,client_paillier_encrypt,coordinate-wise Paillier encryption,5,29.911829699998634
2,client_cipher_hash,hash encrypted vector,5,0.0492365999998583
2,client_pedersen_commit,Pedersen vector commitment,5,4.134961000001567
2,client_receipt_sign,sign upload receipt,5,0.00026530000104685314
2,client_upload_pack,build upload message,5,0.019355399999767542
3,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,30.92766329999904
3,client_weight_compute,client aggregation weight,1,5.199999577598646e-06
3,client_local_train,local SGD training,1,0.07374940000045171
3,client_model_delta,weighted local model delta,1,0.0005155999988346593
3,client_quant_encode,fixed-point quantization and signed encoding,1,7.29000003047986e-05
3,client_masking,xMask = x + m,1,1.9799999790848233e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,1,26.81134199999906
3,client_cipher_hash,hash encrypted vector,1,0.03755699999965145
3,client_pedersen_commit,Pedersen vector commitment,1,3.5040370999995503
3,client_receipt_sign,sign upload receipt,1,0.0004996000006940449
3,client_upload_pack,build upload message,1,0.022461499998826184
3,client_weight_compute,client aggregation weight,4,7.699998604948632e-06
3,client_local_train,local SGD training,4,0.0846164000013232
3,client_model_delta,weighted local model delta,4,0.00033489999987068586
3,client_quant_encode,fixed-point quantization and signed encoding,4,5.599999894911889e-05
3,client_masking,xMask = x + m,4,1.1199999789823778e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,4,26.93212229999881
3,client_cipher_hash,hash encrypted vector,4,0.03238530000089668
3,client_pedersen_commit,Pedersen vector commitment,4,3.421815499999866
3,client_receipt_sign,sign upload receipt,4,0.0005862999987584772
3,client_upload_pack,build upload message,4,0.02359470000010333
3,client_weight_compute,client aggregation weight,3,7.1000013122102246e-06
3,client_local_train,local SGD training,3,0.08538130000124511
3,client_model_delta,weighted local model delta,3,0.00032590000046184286
3,client_quant_encode,fixed-point quantization and signed encoding,3,4.380000063974876e-05
3,client_masking,xMask = x + m,3,9.699999282020144e-06
3,client_paillier_encrypt,coordinate-wise Paillier encryption,3,26.898734600001262
3,client_cipher_hash,hash encrypted vector,3,0.0320847999992111
3,client_pedersen_commit,Pedersen vector commitment,3,3.566736700000547
3,client_receipt_sign,sign upload receipt,3,0.0004881999993813224
3,client_upload_pack,build upload message,3,0.01858650000031048
3,client_weight_compute,client aggregation weight,5,6.399999620043673e-06
3,client_local_train,local SGD training,5,0.07736900000054447
3,client_model_delta,weighted local model delta,5,0.00036999999974796083
3,client_quant_encode,fixed-point quantization and signed encoding,5,6.719999873894267e-05
3,client_masking,xMask = x + m,5,1.5999999959603883e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,5,27.177577500000552
3,client_cipher_hash,hash encrypted vector,5,0.03687349999927392
3,client_pedersen_commit,Pedersen vector commitment,5,3.521445300000778
3,client_receipt_sign,sign upload receipt,5,0.00040660000013303943
3,client_upload_pack,build upload message,5,0.01640629999928933
4,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,39.693446200000835
4,client_weight_compute,client aggregation weight,3,6.100000973674469e-06
4,client_local_train,local SGD training,3,0.12171909999960917
4,client_model_delta,weighted local model delta,3,0.000442000000475673
4,client_quant_encode,fixed-point quantization and signed encoding,3,7.03999994584592e-05
4,client_masking,xMask = x + m,3,1.6099998902063817e-05
4,client_paillier_encrypt,coordinate-wise Paillier encryption,3,33.9656214000006
4,client_cipher_hash,hash encrypted vector,3,0.05584900000030757
4,client_pedersen_commit,Pedersen vector commitment,3,4.771947600000203
4,client_receipt_sign,sign upload receipt,3,0.0004768999988300493
4,client_upload_pack,build upload message,3,0.022083500000007916
4,client_weight_compute,client aggregation weight,1,7.3999999585794285e-06
4,client_local_train,local SGD training,1,0.11097590000099444
4,client_model_delta,weighted local model delta,1,0.000602299998718081
4,client_quant_encode,fixed-point quantization and signed encoding,1,8.08000004326459e-05
4,client_masking,xMask = x + m,1,1.8700000509852543e-05
4,client_paillier_encrypt,coordinate-wise Paillier encryption,1,34.190620899998976
4,client_cipher_hash,hash encrypted vector,1,0.05640510000012
4,client_pedersen_commit,Pedersen vector commitment,1,4.757746999999654
4,client_receipt_sign,sign upload receipt,1,0.0003880000003846362
4,client_upload_pack,build upload message,1,0.023413900000377907
4,client_weight_compute,client aggregation weight,2,8.699998943484388e-06
4,client_local_train,local SGD training,2,0.11240269999871089
4,client_model_delta,weighted local model delta,2,0.0004532999992079567
4,client_quant_encode,fixed-point quantization and signed encoding,2,7.419999928970356e-05
4,client_masking,xMask = x + m,2,1.8200000340584666e-05
4,client_paillier_encrypt,coordinate-wise Paillier encryption,2,34.11960030000046
4,client_cipher_hash,hash encrypted vector,2,0.059590900000330294
4,client_pedersen_commit,Pedersen vector commitment,2,4.791842600001473
4,client_receipt_sign,sign upload receipt,2,0.00040950000038719736
4,client_upload_pack,build upload message,2,0.025759599999219063
4,client_weight_compute,client aggregation weight,4,7.700000423938036e-06
4,client_local_train,local SGD training,4,0.11386320000019623
4,client_model_delta,weighted local model delta,4,0.0005333000008249655
4,client_quant_encode,fixed-point quantization and signed encoding,4,7.790000017848797e-05
4,client_masking,xMask = x + m,4,1.9600000086938962e-05
4,client_paillier_encrypt,coordinate-wise Paillier encryption,4,34.23437340000055
4,client_cipher_hash,hash encrypted vector,4,0.06682809999983874
4,client_pedersen_commit,Pedersen vector commitment,4,4.756670500000837
4,client_receipt_sign,sign upload receipt,4,0.0004012000008515315
4,client_upload_pack,build upload message,4,0.024009900000237394
4,client_weight_compute,client aggregation weight,5,7.5000007200287655e-06
4,client_local_train,local SGD training,5,0.11179939999965427
4,client_model_delta,weighted local model delta,5,0.0005844000006618444
4,client_quant_encode,fixed-point quantization and signed encoding,5,0.000103599999420112
4,client_masking,xMask = x + m,5,2.4900000425986946e-05
4,client_paillier_encrypt,coordinate-wise Paillier encryption,5,34.57932199999959
4,client_cipher_hash,hash encrypted vector,5,0.06157859999984794
4,client_pedersen_commit,Pedersen vector commitment,5,4.774433399999907
4,client_receipt_sign,sign upload receipt,5,0.00037040000097476877
4,client_upload_pack,build upload message,5,0.016700199999831966
5,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,33.922344800001156
5,client_weight_compute,client aggregation weight,2,7.099999493220821e-06
5,client_local_train,local SGD training,2,0.09677919999921869
5,client_model_delta,weighted local model delta,2,0.0006579000000783708
5,client_quant_encode,fixed-point quantization and signed encoding,2,9.239999963028822e-05
5,client_masking,xMask = x + m,2,2.519999907235615e-05
5,client_paillier_encrypt,coordinate-wise Paillier encryption,2,29.04962379999961
5,client_cipher_hash,hash encrypted vector,2,0.046777100000326755
5,client_pedersen_commit,Pedersen vector commitment,2,4.024593099999038
5,client_receipt_sign,sign upload receipt,2,0.0004747000002680579
5,client_upload_pack,build upload message,2,0.024104099999021855
5,client_weight_compute,client aggregation weight,1,6.7999990278622136e-06
5,client_local_train,local SGD training,1,0.10203199999887147
5,client_model_delta,weighted local model delta,1,0.0005098999990877928
5,client_quant_encode,fixed-point quantization and signed encoding,1,5.5300000894931145e-05
5,client_masking,xMask = x + m,1,1.489999885961879e-05
5,client_paillier_encrypt,coordinate-wise Paillier encryption,1,29.139084500000536
5,client_cipher_hash,hash encrypted vector,1,0.04161720000047353
5,client_pedersen_commit,Pedersen vector commitment,1,4.118026099999042
5,client_receipt_sign,sign upload receipt,1,0.0004189000010228483
5,client_upload_pack,build upload message,1,0.023825400001442176
5,client_weight_compute,client aggregation weight,3,6.599999323952943e-06
5,client_local_train,local SGD training,3,0.0999004999994213
5,client_model_delta,weighted local model delta,3,0.0004414999984874157
5,client_quant_encode,fixed-point quantization and signed encoding,3,6.579999899258837e-05
5,client_masking,xMask = x + m,3,2.869999843824189e-05
5,client_paillier_encrypt,coordinate-wise Paillier encryption,3,29.281204300001264
5,client_cipher_hash,hash encrypted vector,3,0.040938500000265776
5,client_pedersen_commit,Pedersen vector commitment,3,4.152435300000434
5,client_receipt_sign,sign upload receipt,3,0.00043700000060198363
5,client_upload_pack,build upload message,3,0.0208466000003682
5,client_weight_compute,client aggregation weight,4,5.300000339047983e-06
5,client_local_train,local SGD training,4,0.1009818999991694
5,client_model_delta,weighted local model delta,4,0.00030309999965538736
5,client_quant_encode,fixed-point quantization and signed encoding,4,5.3699999625678174e-05
5,client_masking,xMask = x + m,4,1.1400001312722452e-05
5,client_paillier_encrypt,coordinate-wise Paillier encryption,4,29.374484800000573
5,client_cipher_hash,hash encrypted vector,4,0.04299570000148378
5,client_pedersen_commit,Pedersen vector commitment,4,4.1226064000002225
5,client_receipt_sign,sign upload receipt,4,0.00035990000105812214
5,client_upload_pack,build upload message,4,0.019054899999900954
5,client_weight_compute,client aggregation weight,5,6.000000212225132e-06
5,client_local_train,local SGD training,5,0.1010403000000224
5,client_model_delta,weighted local model delta,5,0.0004898999995930353
5,client_quant_encode,fixed-point quantization and signed encoding,5,7.00999989931006e-05
5,client_masking,xMask = x + m,5,1.6799998775240965e-05
5,client_paillier_encrypt,coordinate-wise Paillier encryption,5,29.644910199998776
5,client_cipher_hash,hash encrypted vector,5,0.03738119999979972
5,client_pedersen_commit,Pedersen vector commitment,5,4.005604099998891
5,client_receipt_sign,sign upload receipt,5,0.0004589000000123633
5,client_upload_pack,build upload message,5,0.01745370000026014
0,start_experiment_total_wall,total wall-clock time of the CS-driven distributed experiment,,276.73776519999956
